1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7.199999809,7.900000095,7.199999809,6.170000076,5.630000114,5.440000057,4.940000057,4.420000076,4.110000134,3.900000095,4.800000191,5.929999828,6.269999981,5.639999866,5.070000172,4.619999886,4.730000019,6.099999905,10.28999996,10.52000046,9.369999886,8.229999542,7.639999866,6.260000229,5.369999886,4.940000057,4.400000095,3.950000048,3.720000029,7.800000191,5.46999979
6.360000134,7.002999783,6.571000099,6.053999901,5.671999931,5.46600008,5.071000099,4.618000031,4.34499979,4.09800005,4.649000168,5.606999874,5.665999889,5.400000095,5.096000195,4.625,4.495999813,5.414000034,8.059000015,8.609999657,8.461000443,7.887000084,7.068999767,6.061999798,5.177999973,4.789000034,4.311999798,3.84100008,3.611000061,8.345000267,5.252999783
6.800000191,7.5,6.900000095,6.119999886,5.650000095,5.449999809,5,4.510000229,4.21999979,3.99000001,4.730000019,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.369999886,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.050000191,5.349999905
